horizon_seconds,price_range,band_low,band_high,n,total_available_contracts,coverage,wins,losses,p_success,avg_cost,ev_p_minus_c,gross_pnl,profit_per_available_contract,p_value_break_even,neighbor_count,neighbor_positive_count,neighbor_positive_share,neighbor_profit_per_available_mean,positive_component_size,positive_component_profit_per_available_mean,stable
180,0.50-0.90,0.50,0.90,197,575,0.342609,146,51,0.741117,0.750472,-0.009355,-1.843000,-0.003205,0.6590543794,17,1,0.058824,-0.008686,0,0.000000,0
180,0.50-1.00,0.50,1.00,575,575,1.000000,514,61,0.893913,0.901280,-0.007367,-4.236000,-0.007367,0.7703571617,11,0,0.000000,-0.010623,0,0.000000,0
180,0.60-0.70,0.60,0.70,44,575,0.076522,29,15,0.659091,0.657886,0.001205,0.053000,0.000092,0.5629689124,17,4,0.235294,-0.003021,4,0.004036,0
180,0.60-0.80,0.60,0.80,88,575,0.153043,61,27,0.693182,0.710580,-0.017398,-1.531000,-0.002663,0.6892769434,23,4,0.173913,-0.004960,0,0.000000,0
180,0.60-0.90,0.60,0.90,168,575,0.292174,126,42,0.750000,0.782214,-0.032214,-5.412000,-0.009412,0.870377519,26,2,0.076923,-0.007138,0,0.000000,0
180,0.60-1.00,0.60,1.00,546,575,0.949565,494,52,0.904762,0.919057,-0.014295,-7.805000,-0.013574,0.9189132254,17,0,0.000000,-0.008934,0,0.000000,0
180,0.70-0.80,0.70,0.80,44,575,0.076522,32,12,0.727273,0.763273,-0.036000,-1.584000,-0.002755,0.7748039785,17,3,0.176471,-0.004449,0,0.000000,0
180,0.70-0.90,0.70,0.90,124,575,0.215652,97,27,0.782258,0.826331,-0.044073,-5.465000,-0.009504,0.9203297835,23,2,0.086957,-0.006271,0,0.000000,0
180,0.70-1.00,0.70,1.00,502,575,0.873043,465,37,0.926295,0.941948,-0.015653,-7.858000,-0.013666,0.9499235671,17,1,0.058824,-0.007311,0,0.000000,0
180,0.80-0.90,0.80,0.90,80,575,0.139130,65,15,0.812500,0.861012,-0.048512,-3.881000,-0.006750,0.9177262017,17,2,0.117647,-0.004927,0,0.000000,0
180,0.80-1.00,0.80,1.00,458,575,0.796522,433,25,0.945415,0.959114,-0.013699,-6.274000,-0.010911,0.9458935751,14,1,0.071429,-0.005479,0,0.000000,0
180,0.90-1.00,0.90,1.00,378,575,0.657391,368,10,0.973545,0.979876,-0.006331,-2.393000,-0.004162,0.8575429423,8,1,0.125000,-0.005278,0,0.000000,0
240,0.50-0.60,0.50,0.60,39,575,0.067826,22,17,0.564103,0.565718,-0.001615,-0.063000,-0.000110,0.5748338146,8,5,0.625000,0.000444,0,0.000000,0
240,0.50-0.70,0.50,0.70,88,575,0.153043,51,37,0.579545,0.621080,-0.041534,-3.655000,-0.006357,0.8214569086,14,6,0.428571,-0.000125,0,0.000000,0
240,0.50-0.80,0.50,0.80,147,575,0.255652,99,48,0.673469,0.681190,-0.007721,-1.135000,-0.001974,0.619348884,17,4,0.235294,-0.003669,0,0.000000,0
240,0.50-0.90,0.50,0.90,245,575,0.426087,179,66,0.730612,0.755012,-0.024400,-5.978000,-0.010397,0.8410543623,17,1,0.058824,-0.006275,0,0.000000,0
240,0.50-1.00,0.50,1.00,575,575,1.000000,499,76,0.867826,0.879397,-0.011570,-6.653000,-0.011570,0.8418845168,11,0,0.000000,-0.008541,0,0.000000,0
240,0.60-0.70,0.60,0.70,49,575,0.085217,29,20,0.591837,0.665143,-0.073306,-3.592000,-0.006247,0.8914492805,17,7,0.411765,-0.000286,0,0.000000,0
240,0.60-0.80,0.60,0.80,108,575,0.187826,77,31,0.712963,0.722889,-0.009926,-1.072000,-0.001864,0.6385531935,23,5,0.217391,-0.003754,0,0.000000,0
240,0.60-0.90,0.60,0.90,206,575,0.358261,157,49,0.762136,0.790850,-0.028714,-5.915000,-0.010287,0.8688842838,26,2,0.076923,-0.006039,0,0.000000,0
240,0.60-1.00,0.60,1.00,536,575,0.932174,477,59,0.889925,0.902220,-0.012295,-6.590000,-0.011461,0.864104809,17,0,0.000000,-0.008311,0,0.000000,0
240,0.70-0.80,0.70,0.80,59,575,0.102609,48,11,0.813559,0.770847,0.042712,2.520000,0.004383,0.2711949685,17,1,0.058824,-0.005397,1,0.004383,0
240,0.70-0.90,0.70,0.90,157,575,0.273043,128,29,0.815287,0.830083,-0.014796,-2.323000,-0.004040,0.7325384656,23,1,0.043478,-0.006931,0,0.000000,0
240,0.70-1.00,0.70,1.00,487,575,0.846957,448,39,0.919918,0.926074,-0.006156,-2.998000,-0.005214,0.7407549,17,0,0.000000,-0.008527,0,0.000000,0
240,0.80-0.90,0.80,0.90,98,575,0.170435,80,18,0.816327,0.865745,-0.049418,-4.843000,-0.008423,0.9388988694,17,1,0.058824,-0.005207,0,0.000000,0
240,0.80-1.00,0.80,1.00,428,575,0.744348,400,28,0.934579,0.947472,-0.012893,-5.518000,-0.009597,0.906609929,14,0,0.000000,-0.006024,0,0.000000,0
240,0.90-1.00,0.90,1.00,330,575,0.573913,320,10,0.969697,0.971742,-0.002045,-0.675000,-0.001174,0.6689371232,8,0,0.000000,-0.005693,0,0.000000,0
300,0.50-0.60,0.50,0.60,50,576,0.086806,30,20,0.600000,0.566720,0.033280,1.664000,0.002889,0.3719748913,8,3,0.375000,-0.001419,46,0.004608,0
300,0.50-0.70,0.50,0.70,110,576,0.190972,69,41,0.627273,0.617955,0.009318,1.025000,0.001780,0.4617244331,14,3,0.214286,-0.002401,46,0.004608,0
300,0.50-0.80,0.50,0.80,165,576,0.286458,108,57,0.654545,0.664503,-0.009958,-1.643000,-0.002852,0.642850621,17,3,0.176471,-0.004074,0,0.000000,0
300,0.50-0.90,0.50,0.90,301,576,0.522569,223,78,0.740864,0.751452,-0.010588,-3.187000,-0.005533,0.6975733342,17,3,0.176471,-0.004825,0,0.000000,0
300,0.50-1.00,0.50,1.00,576,576,1.000000,488,88,0.847222,0.852925,-0.005703,-3.285000,-0.005703,0.6880405736,11,3,0.272727,-0.005316,0,0.000000,0
300,0.60-0.70,0.60,0.70,60,576,0.104167,39,21,0.650000,0.660650,-0.010650,-0.639000,-0.001109,0.6269967427,17,5,0.294118,-0.002081,0,0.000000,0
300,0.60-0.80,0.60,0.80,115,576,0.199653,78,37,0.678261,0.707017,-0.028757,-3.307000,-0.005741,0.7855821887,23,5,0.217391,-0.003538,0,0.000000,0
300,0.60-0.90,0.60,0.90,251,576,0.435764,193,58,0.768924,0.788251,-0.019327,-4.851000,-0.008422,0.8023271551,26,6,0.230769,-0.003917,0,0.000000,0
300,0.60-1.00,0.60,1.00,526,576,0.913194,458,68,0.870722,0.880131,-0.009409,-4.949000,-0.008592,0.7825847406,17,5,0.294118,-0.004332,0,0.000000,0
300,0.70-0.80,0.70,0.80,55,576,0.095486,39,16,0.709091,0.757600,-0.048509,-2.668000,-0.004632,0.8413495079,17,3,0.176471,-0.003556,0,0.000000,0
300,0.70-0.90,0.70,0.90,191,576,0.331597,154,37,0.806283,0.828335,-0.022052,-4.212000,-0.007312,0.8204683171,23,6,0.260870,-0.003316,0,0.000000,0
300,0.70-1.00,0.70,1.00,466,576,0.809028,419,47,0.899142,0.908391,-0.009249,-4.310000,-0.007483,0.7906680081,17,5,0.294118,-0.003351,0,0.000000,0
300,0.80-0.90,0.80,0.90,136,576,0.236111,115,21,0.845588,0.856941,-0.011353,-1.544000,-0.002681,0.6997576289,17,6,0.352941,-0.001538,0,0.000000,0
300,0.80-1.00,0.80,1.00,411,576,0.713542,380,31,0.924574,0.928569,-0.003995,-1.642000,-0.002851,0.6704739025,14,5,0.357143,-0.001522,0,0.000000,0
300,0.90-1.00,0.90,1.00,275,576,0.477431,265,10,0.963636,0.963993,-0.000356,-0.098000,-0.000170,0.5956818779,8,3,0.375000,-0.000743,0,0.000000,0
360,0.50-0.60,0.50,0.60,71,575,0.123478,41,30,0.577465,0.554761,0.022704,1.612000,0.002803,0.3968060607,8,6,0.750000,0.002484,46,0.004608,1
360,0.50-0.70,0.50,0.70,144,575,0.250435,88,56,0.611111,0.609729,0.001382,0.199000,0.000346,0.5230858886,14,8,0.571429,0.000447,46,0.004608,0
360,0.50-0.80,0.50,0.80,223,575,0.387826,146,77,0.654709,0.665193,-0.010484,-2.338000,-0.004066,0.6614490127,17,9,0.529412,-0.000505,0,0.000000,0
360,0.50-0.90,0.50,0.90,339,575,0.589565,249,90,0.734513,0.732192,0.002322,0.787000,0.001369,0.4887756811,17,8,0.470588,-0.001455,46,0.004608,0
360,0.50-1.00,0.50,1.00,575,575,1.000000,477,98,0.829565,0.824240,0.005325,3.062000,0.005325,0.3839747724,11,6,0.545455,-0.001147,46,0.004608,0
360,0.60-0.70,0.60,0.70,73,575,0.126957,47,26,0.643836,0.663192,-0.019356,-1.413000,-0.002457,0.6859922768,17,9,0.529412,-0.000361,0,0.000000,0
360,0.60-0.80,0.60,0.80,152,575,0.264348,105,47,0.690789,0.716776,-0.025987,-3.950000,-0.006870,0.7916707771,23,10,0.434783,-0.001461,0,0.000000,0
360,0.60-0.90,0.60,0.90,268,575,0.466087,208,60,0.776119,0.779198,-0.003078,-0.825000,-0.001435,0.5838351923,26,11,0.423077,-0.002120,0,0.000000,0
360,0.60-1.00,0.60,1.00,504,575,0.876522,436,68,0.865079,0.862202,0.002877,1.450000,0.002522,0.4536264725,17,8,0.470588,-0.001635,46,0.004608,0
360,0.70-0.80,0.70,0.80,79,575,0.137391,58,21,0.734177,0.766291,-0.032114,-2.537000,-0.004412,0.7931143098,17,5,0.294118,-0.002334,0,0.000000,0
360,0.70-0.90,0.70,0.90,195,575,0.339130,161,34,0.825641,0.822626,0.003015,0.588000,0.001023,0.5011782918,23,8,0.347826,-0.001999,46,0.004608,0
360,0.70-1.00,0.70,1.00,431,575,0.749565,389,42,0.902552,0.895910,0.006643,2.863000,0.004979,0.3559286015,17,7,0.411765,-0.001325,46,0.004608,0
360,0.80-0.90,0.80,0.90,116,575,0.201739,103,13,0.887931,0.860991,0.026940,3.125000,0.005435,0.244865168,17,6,0.352941,-0.001113,46,0.004608,0
360,0.80-1.00,0.80,1.00,352,575,0.612174,331,21,0.940341,0.925000,0.015341,5.400000,0.009391,0.1555306419,14,6,0.428571,-0.000548,46,0.004608,0
360,0.90-1.00,0.90,1.00,236,575,0.410435,228,8,0.966102,0.956462,0.009640,2.275000,0.003957,0.2957363129,8,4,0.500000,0.001968,46,0.004608,0
420,0.50-0.60,0.50,0.60,83,576,0.144097,48,35,0.578313,0.559916,0.018398,1.527000,0.002651,0.4117439079,8,4,0.500000,-0.002031,46,0.004608,0
420,0.50-0.70,0.50,0.70,162,576,0.281250,104,58,0.641975,0.609222,0.032753,5.306000,0.009212,0.218546571,14,6,0.428571,-0.004600,46,0.004608,0
420,0.50-0.80,0.50,0.80,260,576,0.451389,175,85,0.673077,0.666312,0.006765,1.759000,0.003054,0.4357200771,17,8,0.470588,-0.003119,46,0.004608,0
420,0.50-0.90,0.50,0.90,390,576,0.677083,287,103,0.735897,0.731649,0.004249,1.657000,0.002877,0.4484873434,17,10,0.588235,-0.002075,46,0.004608,0
420,0.50-1.00,0.50,1.00,576,576,1.000000,466,110,0.809028,0.802665,0.006363,3.665000,0.006363,0.3641282816,11,8,0.727273,0.000257,46,0.004608,1
420,0.60-0.70,0.60,0.70,79,576,0.137153,56,23,0.708861,0.661025,0.047835,3.779000,0.006561,0.2189801003,17,6,0.352941,-0.004763,46,0.004608,0
420,0.60-0.80,0.60,0.80,177,576,0.307292,127,50,0.717514,0.716203,0.001311,0.232000,0.000403,0.5226315278,23,10,0.434783,-0.003072,46,0.004608,0
420,0.60-0.90,0.60,0.90,307,576,0.532986,239,68,0.778502,0.778078,0.000423,0.130000,0.000226,0.5254424227,26,14,0.538462,-0.001697,46,0.004608,0
